study_id,DOI,site_id,core_id,corenotes,Habitat_type,Habitat,Year_collected,Latitude,Longitude,U_depth_m,L_depth_m,OC_perc,N_perc,LOI,BD_reported_g_cm3,notes
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUIII,,marsh only flooded with the highest tide,marsh,,23.15536,-106.32785,0.1,0.11,10.18,0.52,13.51,0.3,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUIII,,marsh only flooded with the highest tide,marsh,,23.15536,-106.32785,0.11,0.12,11.11,0.52,14.68,0.42,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUIII,,marsh only flooded with the highest tide,marsh,,23.15536,-106.32785,0.12,0.13,13.42,0.53,15.4,0.15,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUIII,,marsh only flooded with the highest tide,marsh,,23.15536,-106.32785,0.13,0.14,11.34,0.48,14.12,0.26,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUIII,,marsh only flooded with the highest tide,marsh,,23.15536,-106.32785,0.14,0.15,9.22,0.44,15.75,0.38,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUIII,,marsh only flooded with the highest tide,marsh,,23.15536,-106.32785,0.15,0.16,11.29,0.48,14.95,0.35,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUIII,,marsh only flooded with the highest tide,marsh,,23.15536,-106.32785,0.16,0.17,16.78,0.51,14.88,0.16,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUIII,,marsh only flooded with the highest tide,marsh,,23.15536,-106.32785,0.17,0.18,10.66,0.45,15.74,0.39,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUIII,,marsh only flooded with the highest tide,marsh,,23.15536,-106.32785,0.18,0.19,11.03,0.46,15.32,0.32,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUIII,,marsh only flooded with the highest tide,marsh,,23.15536,-106.32785,0.19,0.2,10.72,0.46,14.4,0.36,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUIII,,marsh only flooded with the highest tide,marsh,,23.15536,-106.32785,0.2,0.21,11.85,0.49,14.07,0.24,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUIII,,marsh only flooded with the highest tide,marsh,,23.15536,-106.32785,0.21,0.22,14.98,0.45,14.22,0.34,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUIII,,marsh only flooded with the highest tide,marsh,,23.15536,-106.32785,0.22,0.23,13.48,0.51,13.38,0.16,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUIII,,marsh only flooded with the highest tide,marsh,,23.15536,-106.32785,0.23,0.24,9.82,0.42,12.55,0.24,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUIII,,marsh only flooded with the highest tide,marsh,,23.15536,-106.32785,0.24,0.25,10.07,0.44,12.4,0.47,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUIII,,marsh only flooded with the highest tide,marsh,,23.15536,-106.32785,0.25,0.26,11.83,0.44,15.37,0.34,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUIII,,marsh only flooded with the highest tide,marsh,,23.15536,-106.32785,0.26,0.27,11.42,0.44,14.71,0.29,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUIII,,marsh only flooded with the highest tide,marsh,,23.15536,-106.32785,0.27,0.28,11.8,0.42,14.64,0.31,
"Ruiz-Fernández et al., 2017",https://doi.org/10.1016/j.scitotenv.2018.02.246,EU,EUIII,,marsh only flooded with the highest tide,marsh,,23.15536,-106.32785,0.28,0.29,9.95,0.41,14.01,0.37,
