Source,Site_name,Site,Latitude,Longitude,Core_id,Year_collected,U_depth_m,L_depth_m,U_depth_cm,L_depth_cm,Soil moisture content (%),BD_reported_g_cm3,OC_perc,N_perc,Method,Soil loss-on-ignition (mg·g−1),Total soil organic carbon (mg·g−1),Total soil nitrogen (mg·g−1),Refractory soil organic carbon (mg·g−1),Refractory soil nitrogen (mg·g−1),Habitat_type,,,,,,
McClellan_et_al_2021,W29-2-00,W29,29.501111,-91.480833,2,2016,0,0.05,0,5,63,0.447,4.18,0.308,EA,127.8,41.8,3.08,23,0.61,Marsh,,,,,,
McClellan_et_al_2021,W29-2-05,W29,29.501111,-91.480833,2,2016,0.05,0.1,5,10,65,0.448,4.18,0.296,EA,128.3,41.8,2.96,27,0.66,Marsh,,,,,,
McClellan_et_al_2021,W29-2-10,W29,29.501111,-91.480833,2,2016,0.1,0.15,10,15,58,0.581,3,0.226,EA,97.7,30,2.26,17.6,0.51,Marsh,,,,,,
McClellan_et_al_2021,W29-2-15,W29,29.501111,-91.480833,2,2016,0.15,0.2,15,20,59,0.541,3.04,0.217,EA,91.9,30.4,2.17,21,0.55,Marsh,,,,,,
McClellan_et_al_2021,W29-2-20,W29,29.501111,-91.480833,2,2016,0.2,0.25,20,25,56,0.583,3.13,0.209,EA,83.3,31.3,2.09,17,0.43,Marsh,,,,,,
McClellan_et_al_2021,W29-2-25,W29,29.501111,-91.480833,2,2016,0.25,0.3,25,30,51,0.693,2.56,0.171,EA,68.8,25.6,1.71,14.6,0.37,Marsh,,,,,,
McClellan_et_al_2021,W29-3-00,W29,29.501111,-91.480833,3,2016,0,0.05,0,5,66,0.354,4.36,0.293,EA,133.8,43.6,2.93,24.4,0.65,Marsh,,,,,,
McClellan_et_al_2021,W29-3-05,W29,29.501111,-91.480833,3,2016,0.05,0.1,5,10,70,0.354,4.75,0.313,EA,144.2,47.5,3.13,30.9,0.83,Marsh,,,,,,
McClellan_et_al_2021,W29-3-10,W29,29.501111,-91.480833,3,2016,0.1,0.15,10,15,65,0.441,3.3,0.204,EA,115.9,33,2.04,21.4,0.62,Marsh,,,,,,
McClellan_et_al_2021,W29-3-15,W29,29.501111,-91.480833,3,2016,0.15,0.2,15,20,59,0.54,2.7,0.156,EA,100.5,27,1.56,17.7,0.49,Marsh,,,,,,
McClellan_et_al_2021,W29-3-20,W29,29.501111,-91.480833,3,2016,0.2,0.25,20,25,51,0.653,1.98,0.107,EA,67.9,19.8,1.07,14.6,0.36,Marsh,,,,,,
