"","Database","study_id","site_id","core_id","Habitat_type","Year_collected","Latitude","Longitude","U_depth_m","L_depth_m","OC_perc","N_perc","BD_reported_g_cm3","DOI"
"106","Weston","Weston et al 2023","Massachussettes","8","Salt marsh",2014,42.73282,-70.81929,0.84,0.86,7.248040199,0.693805397,0.397735564,"https://doi.org/10.1038/s41558-018-0162-5"
"107","Weston","Weston et al 2023","Massachussettes","2 (LM)","Salt marsh",2014,NA,NA,0,0.01,9.909381866,0.747001946,0.214070099,"https://doi.org/10.1038/s41558-018-0162-5"
"108","Weston","Weston et al 2023","Massachussettes","2 (LM)","Salt marsh",2014,NA,NA,0.01,0.02,7.254185677,0.631591022,0.208980642,"https://doi.org/10.1038/s41558-018-0162-5"
"109","Weston","Weston et al 2023","Massachussettes","2 (LM)","Salt marsh",2014,NA,NA,0.02,0.03,7.208910942,0.63647747,0.261342385,"https://doi.org/10.1038/s41558-018-0162-5"
"110","Weston","Weston et al 2023","Massachussettes","2 (LM)","Salt marsh",2014,NA,NA,0.03,0.04,7.317617416,0.629606903,0.179598161,"https://doi.org/10.1038/s41558-018-0162-5"
"111","Weston","Weston et al 2023","Massachussettes","2 (LM)","Salt marsh",2014,NA,NA,0.04,0.05,7.516473293,0.671432912,0.283465694,"https://doi.org/10.1038/s41558-018-0162-5"
"112","Weston","Weston et al 2023","Massachussettes","2 (LM)","Salt marsh",2014,NA,NA,0.09,0.1,8.009342194,0.666129649,0.204348993,"https://doi.org/10.1038/s41558-018-0162-5"
"113","Weston","Weston et al 2023","Massachussettes","2 (LM)","Salt marsh",2014,NA,NA,0.14,0.15,6.287417412,0.541944146,0.267077156,"https://doi.org/10.1038/s41558-018-0162-5"
"114","Weston","Weston et al 2023","Massachussettes","2 (LM)","Salt marsh",2014,NA,NA,0.19,0.2,7.255023003,0.57806474,0.258078071,"https://doi.org/10.1038/s41558-018-0162-5"
"115","Weston","Weston et al 2023","Massachussettes","2 (LM)","Salt marsh",2014,NA,NA,0.24,0.25,5.734710217,0.50112617,0.259116661,"https://doi.org/10.1038/s41558-018-0162-5"
"116","Weston","Weston et al 2023","Massachussettes","2 (LM)","Salt marsh",2014,NA,NA,0.29,0.3,5.840693951,0.50317198,0.298773026,"https://doi.org/10.1038/s41558-018-0162-5"
"117","Weston","Weston et al 2023","Massachussettes","2 (LM)","Salt marsh",2014,NA,NA,0.34,0.35,5.527622223,0.460405171,0.276233308,"https://doi.org/10.1038/s41558-018-0162-5"
"118","Weston","Weston et al 2023","Massachussettes","2 (LM)","Salt marsh",2014,NA,NA,0.39,0.4,7.057861805,0.570728421,0.238040466,"https://doi.org/10.1038/s41558-018-0162-5"
"119","Weston","Weston et al 2023","Massachussettes","2 (LM)","Salt marsh",2014,NA,NA,0.34,0.35,5.687459946,0.448350549,0.349680987,"https://doi.org/10.1038/s41558-018-0162-5"
"120","Weston","Weston et al 2023","Massachussettes","2 (LM)","Salt marsh",2014,NA,NA,0.39,0.4,5.959069252,0.459462732,0.312913923,"https://doi.org/10.1038/s41558-018-0162-5"
"121","Weston","Weston et al 2023","Massachussettes","2 (LM)","Salt marsh",2014,NA,NA,0.44,0.45,6.182085514,0.472880393,0.271674713,"https://doi.org/10.1038/s41558-018-0162-5"
